player,episode,voted_for,outcome,status,shield,episode_date
Stephen,6,Fiona,,Traitor,,06/01/2026
Adam,7,Matthew,,Faithful,,07/01/2026
Ellie,7,Jade,,Faithful,,07/01/2026
Faraaz,7,Harriet,,Faithful,Yes,07/01/2026
Harriet,7,Rachel,Banished,Faithful,,07/01/2026
Jack,7,Harriet,,Faithful,Yes,07/01/2026
Jade,7,Harriet,,Faithful,Yes,07/01/2026
James,7,Harriet,,Faithful,Yes,07/01/2026
Jessie,7,Harriet,,Faithful,Yes,07/01/2026
Matthew,7,Harriet,,Faithful,,07/01/2026
Rachel,7,Harriet,,Traitor,Yes,07/01/2026
Roxy,7,Harriet,,Faithful,,07/01/2026
Sam,7,Harriet,,Faithful,,07/01/2026
Stephen,7,Harriet,,Traitor,Yes,07/01/2026
Adam,8,,Murdered,Faithful,,08/01/2026
Ellie,8,Sam,,Faithful,,08/01/2026
Faraaz,8,Sam,,Faithful,,08/01/2026
Jack,8,Matthew,,Faithful,,08/01/2026
Jade,8,Sam,,Faithful,,08/01/2026
James,8,Matthew,,Faithful,,08/01/2026
Jessie,8,Stephen,,Faithful,,08/01/2026
Matthew,8,Sam,,Faithful,,08/01/2026
Rachel,8,Sam,,Traitor,,08/01/2026
Roxy,8,James,,Faithful,,08/01/2026
Sam,8,Ellie,Banished,Faithful,Yes,08/01/2026
Stephen,8,Sam,,Traitor,,08/01/2026
Ellie,9,Jade,Banished,Faithful,,09/01/2026
Faraaz,9,Ellie,,Faithful,,09/01/2026
Jack,9,Matthew,,Faithful,,09/01/2026
Jade,9,Ellie,,Faithful,,09/01/2026
James,9,Matthew,,Faithful,,09/01/2026
Jessie,9,,Murdered,Faithful,,09/01/2026
Matthew,9,Jade,,Faithful,,09/01/2026
Rachel,9,Ellie,,Traitor,,09/01/2026
Roxy,9,James,,Faithful,,09/01/2026
Stephen,9,Ellie,,Traitor,,09/01/2026
Faraaz,10,Jade,,Faithful,,10/01/2026
Jack,10,Matthew,,Faithful,Yes,10/01/2026
Jade,10,James,,Faithful,,10/01/2026
James,10,Matthew,,Faithful,,10/01/2026
Matthew,10,James,Banished,Faithful,,10/01/2026
Rachel,10,Matthew,,Traitor,,10/01/2026
Roxy,10,James,,Faithful,,10/01/2026
Stephen,10,Matthew,,Traitor,,10/01/2026
Faraaz,11,Rachel,,Faithful,Yes,11/01/2026
Jack,11,Rachel,,Faithful,Yes,11/01/2026
Jade,11,James,,Faithful,Yes,11/01/2026
James,11,Rachel,,Faithful,Yes,11/01/2026
Rachel,11,James,,Traitor,Yes,11/01/2026
Roxy,11,,Murdered,Faithful,Yes,11/01/2026
Stephen,11,James,,Traitor,Yes,11/01/2026
Faraaz,12,Jade,,Faithful,,12/01/2026
Jack,12,Rachel,,Faithful,,12/01/2026
Jade,12,Faraaz,Banished,Faithful,,12/01/2026
James,12,,Banished,Faithful,,12/01/2026
Rachel,12,Jade,,Traitor,,12/01/2026
Stephen,12,Jade,,Traitor,,12/01/2026
